"","Sentence","Subject","Length_of_sentence_recording","Expected_length_of_Recording","Length_of_Recording","Unexpected_Overspill"
"153","Sarah_engels_Mary_grabs_a_carrot_0.wav","f8c19b269a3307cc3794c234603144f8",1969,4669,4754,85
"154","Sarah_engels_Mary_irons_a_skirt_0.wav","13c98e912212b5f35940704e0b0888ba",1820,4520,4548,28
"155","Sarah_engels_Mary_irons_a_skirt_0.wav","1615981459",1820,4520,4410,-110
"156","Sarah_engels_Mary_irons_a_skirt_0.wav","46c3b725b7b943366f24bc420b0d72a7",1820,4520,4508,-12
"157","Sarah_engels_Mary_irons_a_skirt_0.wav","7304b0bf72856db551282e1c54fbf7eb",1820,4520,4529,9
"158","Sarah_engels_Mary_irons_a_skirt_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1820,4520,4570,50
"159","Sarah_engels_Mary_irons_a_skirt_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1820,4520,4766,246
"160","Sarah_engels_Mary_irons_a_skirt_0.wav","920a27b518e889e62252ffb5766b8a71",1820,4520,5328,808
"161","Sarah_engels_Mary_irons_a_skirt_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1820,4520,4592,72
"162","Sarah_engels_Mary_irons_a_skirt_0.wav","f8c19b269a3307cc3794c234603144f8",1820,4520,4527,7
"163","Sarah_engels_Mary_knits_a_scarf_0.wav","13c98e912212b5f35940704e0b0888ba",1707,4407,4313,-94
"164","Sarah_engels_Mary_knits_a_scarf_0.wav","1615981459",1707,4407,4401,-6
"165","Sarah_engels_Mary_knits_a_scarf_0.wav","46c3b725b7b943366f24bc420b0d72a7",1707,4407,4323,-84
"166","Sarah_engels_Mary_knits_a_scarf_0.wav","7304b0bf72856db551282e1c54fbf7eb",1707,4407,4326,-81
"167","Sarah_engels_Mary_knits_a_scarf_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1707,4407,4368,-39
"168","Sarah_engels_Mary_knits_a_scarf_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1707,4407,4524,117
"169","Sarah_engels_Mary_knits_a_scarf_0.wav","920a27b518e889e62252ffb5766b8a71",1707,4407,5167,760
"170","Sarah_engels_Mary_knits_a_scarf_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1707,4407,4384,-23
"171","Sarah_engels_Mary_knits_a_scarf_0.wav","f8c19b269a3307cc3794c234603144f8",1707,4407,4336,-71
"172","Sarah_engels_Mary_loses_a_scarf_0.wav","13c98e912212b5f35940704e0b0888ba",1761,4461,4658,197
"173","Sarah_engels_Mary_loses_a_scarf_0.wav","1615981459",1761,4461,4663,202
"174","Sarah_engels_Mary_loses_a_scarf_0.wav","46c3b725b7b943366f24bc420b0d72a7",1761,4461,4687,226
"175","Sarah_engels_Mary_loses_a_scarf_0.wav","7304b0bf72856db551282e1c54fbf7eb",1761,4461,4723,262
"176","Sarah_engels_Mary_loses_a_scarf_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1761,4461,4754,293
"177","Sarah_engels_Mary_loses_a_scarf_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1761,4461,5151,690
"178","Sarah_engels_Mary_loses_a_scarf_0.wav","920a27b518e889e62252ffb5766b8a71",1761,4461,5485,1024
"179","Sarah_engels_Mary_loses_a_scarf_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1761,4461,4733,272
"180","Sarah_engels_Mary_loses_a_scarf_0.wav","f8c19b269a3307cc3794c234603144f8",1761,4461,4667,206
"181","Sarah_engels_Mary_measures_a_pencil_0.wav","13c98e912212b5f35940704e0b0888ba",2013,4713,4785,72
"182","Sarah_engels_Mary_measures_a_pencil_0.wav","1615981459",2013,4713,4567,-146
"183","Sarah_engels_Mary_measures_a_pencil_0.wav","46c3b725b7b943366f24bc420b0d72a7",2013,4713,4775,62
"184","Sarah_engels_Mary_measures_a_pencil_0.wav","7304b0bf72856db551282e1c54fbf7eb",2013,4713,4882,169
"185","Sarah_engels_Mary_measures_a_pencil_0.wav","7f94a6a00b81835afd4a31a99888f4b0",2013,4713,4819,106
"186","Sarah_engels_Mary_measures_a_pencil_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",2013,4713,4895,182
"187","Sarah_engels_Mary_measures_a_pencil_0.wav","920a27b518e889e62252ffb5766b8a71",2013,4713,5597,884
"188","Sarah_engels_Mary_measures_a_pencil_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",2013,4713,4862,149
"189","Sarah_engels_Mary_measures_a_pencil_0.wav","f8c19b269a3307cc3794c234603144f8",2013,4713,4810,97
"190","Sarah_engels_Mary_opens_a_lock_0.wav","13c98e912212b5f35940704e0b0888ba",1731,4431,5008,577
"191","Sarah_engels_Mary_opens_a_lock_0.wav","1615981459",1731,4431,4405,-26
"192","Sarah_engels_Mary_opens_a_lock_0.wav","46c3b725b7b943366f24bc420b0d72a7",1731,4431,4643,212
"193","Sarah_engels_Mary_opens_a_lock_0.wav","7304b0bf72856db551282e1c54fbf7eb",1731,4431,4663,232
"194","Sarah_engels_Mary_opens_a_lock_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1731,4431,4682,251
"195","Sarah_engels_Mary_opens_a_lock_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1731,4431,5020,589
"196","Sarah_engels_Mary_opens_a_lock_0.wav","920a27b518e889e62252ffb5766b8a71",1731,4431,4995,564
"197","Sarah_engels_Mary_opens_a_lock_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1731,4431,4673,242
"198","Sarah_engels_Mary_opens_a_lock_0.wav","f8c19b269a3307cc3794c234603144f8",1731,4431,4635,204
"199","Sarah_engels_Mary_paints_a_mailbox_0.wav","13c98e912212b5f35940704e0b0888ba",1916,4616,4616,0
"200","Sarah_engels_Mary_paints_a_mailbox_0.wav","1615981459",1916,4616,4308,-308
"201","Sarah_engels_Mary_paints_a_mailbox_0.wav","46c3b725b7b943366f24bc420b0d72a7",1916,4616,4555,-61
"202","Sarah_engels_Mary_paints_a_mailbox_0.wav","7304b0bf72856db551282e1c54fbf7eb",1916,4616,4648,32
"203","Sarah_engels_Mary_paints_a_mailbox_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1916,4616,4695,79
"204","Sarah_engels_Mary_paints_a_mailbox_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1916,4616,4887,271
"205","Sarah_engels_Mary_paints_a_mailbox_0.wav","920a27b518e889e62252ffb5766b8a71",1916,4616,5524,908
"206","Sarah_engels_Mary_paints_a_mailbox_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1916,4616,4643,27
"207","Sarah_engels_Mary_paints_a_mailbox_0.wav","f8c19b269a3307cc3794c234603144f8",1916,4616,4683,67
"208","Sarah_engels_Mary_prefers_a_church_0.wav","13c98e912212b5f35940704e0b0888ba",2035,4735,4797,62
"209","Sarah_engels_Mary_prefers_a_church_0.wav","1615981459",2035,4735,4415,-320
"210","Sarah_engels_Mary_prefers_a_church_0.wav","46c3b725b7b943366f24bc420b0d72a7",2035,4735,4869,134
"211","Sarah_engels_Mary_prefers_a_church_0.wav","7304b0bf72856db551282e1c54fbf7eb",2035,4735,4817,82
"212","Sarah_engels_Mary_prefers_a_church_0.wav","7f94a6a00b81835afd4a31a99888f4b0",2035,4735,4871,136
"213","Sarah_engels_Mary_prefers_a_church_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",2035,4735,5173,438
"214","Sarah_engels_Mary_prefers_a_church_0.wav","920a27b518e889e62252ffb5766b8a71",2035,4735,4937,202
"215","Sarah_engels_Mary_prefers_a_church_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",2035,4735,4902,167
"216","Sarah_engels_Mary_prefers_a_church_0.wav","f8c19b269a3307cc3794c234603144f8",2035,4735,4853,118
"217","Sarah_engels_Mary_reads_a_letter_0.wav","13c98e912212b5f35940704e0b0888ba",1642,4342,4578,236
"218","Sarah_engels_Mary_reads_a_letter_0.wav","1615981459",1642,4342,4845,503
"219","Sarah_engels_Mary_reads_a_letter_0.wav","46c3b725b7b943366f24bc420b0d72a7",1642,4342,4618,276
"220","Sarah_engels_Mary_reads_a_letter_0.wav","7304b0bf72856db551282e1c54fbf7eb",1642,4342,4699,357
"221","Sarah_engels_Mary_reads_a_letter_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1642,4342,4641,299
"222","Sarah_engels_Mary_reads_a_letter_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1642,4342,4693,351
"223","Sarah_engels_Mary_reads_a_letter_0.wav","920a27b518e889e62252ffb5766b8a71",1642,4342,4896,554
"224","Sarah_engels_Mary_reads_a_letter_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1642,4342,4688,346
"225","Sarah_engels_Mary_reads_a_letter_0.wav","f8c19b269a3307cc3794c234603144f8",1642,4342,4649,307
"226","Sarah_engels_Mary_reveals_a_window_0.wav","13c98e912212b5f35940704e0b0888ba",2065,4765,4630,-135
"227","Sarah_engels_Mary_reveals_a_window_0.wav","1615981459",2065,4765,4620,-145
